,COUNTRY,Country,Gender,Field,International mobility,Education level,Year,Value
0,AUS,Australia,Male,Education,Total,Short-cycle tertiary education,2019,3496.0
1,AUS,Australia,Female,Education,Mobile including homecoming nationals,Short-cycle tertiary education,2019,4039.0
2,AUS,Australia,Male,Education,Mobile including homecoming nationals,Short-cycle tertiary education,2019,301.0
4,AUS,Australia,Male,Education,Total,Bachelor’s or equivalent level,2019,19886.5
5,AUS,Australia,Female,Education,Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,3616.138
6,AUS,Australia,Male,Education,Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,1815.483
9,AUS,Australia,Male,Education,Total,Master’s or equivalent level,2019,8580.587
12,AUS,Australia,Female,Education,Total,Doctoral or equivalent level,2019,2257.0
13,AUS,Australia,Male,Education,Total,Doctoral or equivalent level,2019,1039.0
14,AUS,Australia,Male,Education,Mobile including homecoming nationals,Doctoral or equivalent level,2019,267.0
17,AUS,Australia,Male,Arts and humanities,Mobile including homecoming nationals,Short-cycle tertiary education,2019,2980.0
20,AUS,Australia,Male,Arts and humanities,Total,Bachelor’s or equivalent level,2019,45982.323
21,AUS,Australia,Female,Arts and humanities,Total,Master’s or equivalent level,2019,9744.421
22,AUS,Australia,Female,Arts and humanities,Mobile including homecoming nationals,Master’s or equivalent level,2019,4899.413
23,AUS,Australia,Male,Arts and humanities,Total,Doctoral or equivalent level,2019,2682.0
24,AUS,Australia,Male,Arts and humanities,Mobile including homecoming nationals,Doctoral or equivalent level,2019,496.0
26,AUS,Australia,Female,"Social sciences, journalism and information",Total,Short-cycle tertiary education,2019,2991.0
27,AUS,Australia,Male,"Social sciences, journalism and information",Total,Short-cycle tertiary education,2019,1384.0
28,AUS,Australia,Female,"Social sciences, journalism and information",Mobile including homecoming nationals,Short-cycle tertiary education,2019,84.0
31,AUS,Australia,Male,"Social sciences, journalism and information",Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,2768.87
32,AUS,Australia,Female,"Social sciences, journalism and information",Total,Master’s or equivalent level,2019,9844.879
33,AUS,Australia,Male,"Social sciences, journalism and information",Total,Master’s or equivalent level,2019,4776.371
34,AUS,Australia,Female,"Social sciences, journalism and information",Mobile including homecoming nationals,Master’s or equivalent level,2019,2738.932
35,AUS,Australia,Male,"Social sciences, journalism and information",Mobile including homecoming nationals,Master’s or equivalent level,2019,1616.785
37,AUS,Australia,Female,"Social sciences, journalism and information",Mobile including homecoming nationals,Doctoral or equivalent level,2019,751.0
38,AUS,Australia,Male,"Social sciences, journalism and information",Mobile including homecoming nationals,Doctoral or equivalent level,2019,585.0
41,AUS,Australia,Male,"Business, administration and law",Total,Short-cycle tertiary education,2019,79386.0
42,AUS,Australia,Female,"Business, administration and law",Mobile including homecoming nationals,Short-cycle tertiary education,2019,39744.0
44,AUS,Australia,Female,"Business, administration and law",Total,Bachelor’s or equivalent level,2019,126302.196
45,AUS,Australia,Male,"Business, administration and law",Total,Bachelor’s or equivalent level,2019,120852.477
46,AUS,Australia,Female,"Business, administration and law",Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,32669.424
49,AUS,Australia,Female,"Business, administration and law",Total,Master’s or equivalent level,2019,61442.471
50,AUS,Australia,Male,"Business, administration and law",Total,Master’s or equivalent level,2019,60172.349
51,AUS,Australia,Male,"Business, administration and law",Mobile including homecoming nationals,Master’s or equivalent level,2019,42340.922
56,AUS,Australia,Female,"Natural sciences, mathematics and statistics",Total,Bachelor’s or equivalent level,2019,40103.547
57,AUS,Australia,Male,"Natural sciences, mathematics and statistics",Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,5463.37
60,AUS,Australia,Female,"Natural sciences, mathematics and statistics",Total,Master’s or equivalent level,2019,5250.669
61,AUS,Australia,Male,"Natural sciences, mathematics and statistics",Total,Master’s or equivalent level,2019,4970.008
62,AUS,Australia,Female,"Natural sciences, mathematics and statistics",Mobile including homecoming nationals,Master’s or equivalent level,2019,2560.717
63,AUS,Australia,Male,"Natural sciences, mathematics and statistics",Mobile including homecoming nationals,Master’s or equivalent level,2019,2225.807
65,AUS,Australia,Female,"Natural sciences, mathematics and statistics",Total,Doctoral or equivalent level,2019,5868.0
66,AUS,Australia,Male,"Natural sciences, mathematics and statistics",Total,Doctoral or equivalent level,2019,6257.0
67,AUS,Australia,Female,"Natural sciences, mathematics and statistics",Mobile including homecoming nationals,Doctoral or equivalent level,2019,2350.0
68,AUS,Australia,Male,"Natural sciences, mathematics and statistics",Mobile including homecoming nationals,Doctoral or equivalent level,2019,2692.0
