,Country code,Country,Reference sector,Employment type,Education level,Year,Value
21,AUS,Australia,Public educational institutions,Full-time,Short-cycle tertiary education,2013,73725.0
22,AUS,Australia,Public educational institutions,Full-time,Short-cycle tertiary education,2014,78265.0
23,AUS,Australia,Public educational institutions,Full-time,Short-cycle tertiary education,2015,99335.0
24,AUS,Australia,Public educational institutions,Full-time,Short-cycle tertiary education,2016,111055.0
25,AUS,Australia,Public educational institutions,Full-time,Short-cycle tertiary education,2017,92143.0
26,AUS,Australia,Public educational institutions,Full-time,Short-cycle tertiary education,2018,29551.0
27,AUS,Australia,Public educational institutions,Full-time,Short-cycle tertiary education,2019,62002.0
28,AUS,Australia,Government dependent private educational institutions,Full-time,Short-cycle tertiary education,2013,12401.0
29,AUS,Australia,Government dependent private educational institutions,Full-time,Short-cycle tertiary education,2014,15473.0
30,AUS,Australia,Government dependent private educational institutions,Full-time,Short-cycle tertiary education,2015,295.0
31,AUS,Australia,Government dependent private educational institutions,Full-time,Short-cycle tertiary education,2016,287.0
32,AUS,Australia,Government dependent private educational institutions,Full-time,Short-cycle tertiary education,2017,254.0
35,AUS,Australia,Independent private educational institutions,Full-time,Short-cycle tertiary education,2013,16375.0
36,AUS,Australia,Independent private educational institutions,Full-time,Short-cycle tertiary education,2014,18724.0
37,AUS,Australia,Independent private educational institutions,Full-time,Short-cycle tertiary education,2015,83232.0
38,AUS,Australia,Independent private educational institutions,Full-time,Short-cycle tertiary education,2016,78900.0
39,AUS,Australia,Independent private educational institutions,Full-time,Short-cycle tertiary education,2017,71670.0
42,AUS,Australia,Public educational institutions,Part-time,Short-cycle tertiary education,2013,92948.0
43,AUS,Australia,Public educational institutions,Part-time,Short-cycle tertiary education,2014,94254.0
44,AUS,Australia,Public educational institutions,Part-time,Short-cycle tertiary education,2015,301888.0
45,AUS,Australia,Public educational institutions,Part-time,Short-cycle tertiary education,2016,272644.0
46,AUS,Australia,Public educational institutions,Part-time,Short-cycle tertiary education,2017,204278.0
47,AUS,Australia,Public educational institutions,Part-time,Short-cycle tertiary education,2018,26948.0
48,AUS,Australia,Public educational institutions,Part-time,Short-cycle tertiary education,2019,77459.0
49,AUS,Australia,Government dependent private educational institutions,Part-time,Short-cycle tertiary education,2013,23603.0
