"Country","Indicator","Sex","Age Group","Time","Unit","PowerCode","Reference Period","Value","Flags"
"Australia","Labour force participation rate, by sex and age group ","Men","Total","2017","Percentage","Units",,70.7,
"Australia","Labour force participation rate, by sex and age group ","Women","Total","2017","Percentage","Units",,59.9,
"Australia","Employment/population ratio, by sex and age group","Men","Total","2017","Percentage","Units",,66.8,
"Australia","Employment/population ratio, by sex and age group","Women","Total","2017","Percentage","Units",,56.5,
"Australia","Unemployment rate, by sex and age group","Men","Total","2017","Percentage","Units",,5.5,
"Australia","Unemployment rate, by sex and age group","Women","Total","2017","Percentage","Units",,5.7,
"Austria","Labour force participation rate, by sex and age group ","Men","Total","2017","Percentage","Units",,66.8,
"Austria","Labour force participation rate, by sex and age group ","Women","Total","2017","Percentage","Units",,55.9,
"Austria","Employment/population ratio, by sex and age group","Men","Total","2017","Percentage","Units",,62.9,
"Austria","Employment/population ratio, by sex and age group","Women","Total","2017","Percentage","Units",,53.1,
"Austria","Unemployment rate, by sex and age group","Men","Total","2017","Percentage","Units",,5.9,
"Austria","Unemployment rate, by sex and age group","Women","Total","2017","Percentage","Units",,5,
"Belgium","Labour force participation rate, by sex and age group ","Men","Total","2017","Percentage","Units",,59.2,
"Belgium","Labour force participation rate, by sex and age group ","Women","Total","2017","Percentage","Units",,48.7,
"Belgium","Employment/population ratio, by sex and age group","Men","Total","2017","Percentage","Units",,55,
"Belgium","Employment/population ratio, by sex and age group","Women","Total","2017","Percentage","Units",,45.3,
"Belgium","Unemployment rate, by sex and age group","Men","Total","2017","Percentage","Units",,7.1,
"Belgium","Unemployment rate, by sex and age group","Women","Total","2017","Percentage","Units",,7.1,
"Canada","Labour force participation rate, by sex and age group ","Men","Total","2017","Percentage","Units",,70.2,
"Canada","Labour force participation rate, by sex and age group ","Women","Total","2017","Percentage","Units",,61.2,
"Canada","Employment/population ratio, by sex and age group","Men","Total","2017","Percentage","Units",,65.4,
"Canada","Employment/population ratio, by sex and age group","Women","Total","2017","Percentage","Units",,57.5,
"Canada","Unemployment rate, by sex and age group","Men","Total","2017","Percentage","Units",,6.8,
"Canada","Unemployment rate, by sex and age group","Women","Total","2017","Percentage","Units",,5.9,
"Czech Republic","Labour force participation rate, by sex and age group ","Men","Total","2017","Percentage","Units",,68.5,
"Czech Republic","Labour force participation rate, by sex and age group ","Women","Total","2017","Percentage","Units",,52.3,
"Czech Republic","Employment/population ratio, by sex and age group","Men","Total","2017","Percentage","Units",,66.9,
"Czech Republic","Employment/population ratio, by sex and age group","Women","Total","2017","Percentage","Units",,50.4,
"Czech Republic","Unemployment rate, by sex and age group","Men","Total","2017","Percentage","Units",,2.3,
"Czech Republic","Unemployment rate, by sex and age group","Women","Total","2017","Percentage","Units",,3.6,
"Denmark","Labour force participation rate, by sex and age group ","Men","Total","2017","Percentage","Units",,65.9,
"Denmark","Labour force participation rate, by sex and age group ","Women","Total","2017","Percentage","Units",,57.6,
"Denmark","Employment/population ratio, by sex and age group","Men","Total","2017","Percentage","Units",,62.3,
"Denmark","Employment/population ratio, by sex and age group","Women","Total","2017","Percentage","Units",,54.2,
"Denmark","Unemployment rate, by sex and age group","Men","Total","2017","Percentage","Units",,5.5,
"Denmark","Unemployment rate, by sex and age group","Women","Total","2017","Percentage","Units",,6,
"Finland","Labour force participation rate, by sex and age group ","Men","Total","2017","Percentage","Units",,68.9,
"Finland","Labour force participation rate, by sex and age group ","Women","Total","2017","Percentage","Units",,63.5,
"Finland","Employment/population ratio, by sex and age group","Men","Total","2017","Percentage","Units",,62.9,
"Finland","Employment/population ratio, by sex and age group","Women","Total","2017","Percentage","Units",,58.2,
"Finland","Unemployment rate, by sex and age group","Men","Total","2017","Percentage","Units",,8.8,
"Finland","Unemployment rate, by sex and age group","Women","Total","2017","Percentage","Units",,8.4,
"France","Labour force participation rate, by sex and age group ","Men","Total","2017","Percentage","Units",,60.5,
"France","Labour force participation rate, by sex and age group ","Women","Total","2017","Percentage","Units",,51.4,
"France","Employment/population ratio, by sex and age group","Men","Total","2017","Percentage","Units",,54.8,
"France","Employment/population ratio, by sex and age group","Women","Total","2017","Percentage","Units",,46.6,
"France","Unemployment rate, by sex and age group","Men","Total","2017","Percentage","Units",,9.5,
"France","Unemployment rate, by sex and age group","Women","Total","2017","Percentage","Units",,9.3,
"Germany","Labour force participation rate, by sex and age group ","Men","Total","2017","Percentage","Units",,66.7,
"Germany","Labour force participation rate, by sex and age group ","Women","Total","2017","Percentage","Units",,55.9,
"Germany","Employment/population ratio, by sex and age group","Men","Total","2017","Percentage","Units",,63.9,
"Germany","Employment/population ratio, by sex and age group","Women","Total","2017","Percentage","Units",,54,
