"COUNTRY","Country","SEX","Gender","REF_SECTOR","Reference sector","INTENSITY","Intensity","EDUCATION_LEV","Education level","UNIT_MEASURE","Unit","YEAR","Year","Value","Flag Codes","Flags"
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","_T","Full- and part-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2013","2013",166673,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","_T","Full- and part-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2014","2014",172519,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","_T","Full- and part-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2015","2015",401223,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","_T","Full- and part-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2016","2016",383699,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","_T","Full- and part-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2017","2017",296421,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","_T","Full- and part-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2018","2018",56499,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","_T","Full- and part-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2019","2019",139461,,
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","_T","Full- and part-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2013","2013",36004,,
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","_T","Full- and part-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2014","2014",36317,,
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","_T","Full- and part-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2015","2015",470,,
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","_T","Full- and part-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2016","2016",439,,
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","_T","Full- and part-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2017","2017",394,,
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","_T","Full- and part-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2018","2018",,"k","Data included in another category"
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","_T","Full- and part-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2019","2019",,"k","Data included in another category"
"AUS","Australia","_T","Total","INST_PRIV_IND","Independent private educational institutions","_T","Full- and part-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2013","2013",22063,,
"AUS","Australia","_T","Total","INST_PRIV_IND","Independent private educational institutions","_T","Full- and part-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2014","2014",24382,,
"AUS","Australia","_T","Total","INST_PRIV_IND","Independent private educational institutions","_T","Full- and part-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2015","2015",242891,,
"AUS","Australia","_T","Total","INST_PRIV_IND","Independent private educational institutions","_T","Full- and part-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2016","2016",233521,,
"AUS","Australia","_T","Total","INST_PRIV_IND","Independent private educational institutions","_T","Full- and part-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2017","2017",171483,,
"AUS","Australia","_T","Total","INST_PRIV_IND","Independent private educational institutions","_T","Full- and part-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2018","2018",,"k","Data included in another category"
"AUS","Australia","_T","Total","INST_PRIV_IND","Independent private educational institutions","_T","Full- and part-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2019","2019",,"k","Data included in another category"
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","FT","Full-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2013","2013",73725,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","FT","Full-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2014","2014",78265,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","FT","Full-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2015","2015",99335,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","FT","Full-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2016","2016",111055,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","FT","Full-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2017","2017",92143,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","FT","Full-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2018","2018",29551,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","FT","Full-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2019","2019",62002,,
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","FT","Full-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2013","2013",12401,,
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","FT","Full-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2014","2014",15473,,
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","FT","Full-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2015","2015",295,,
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","FT","Full-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2016","2016",287,,
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","FT","Full-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2017","2017",254,,
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","FT","Full-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2018","2018",,"k","Data included in another category"
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","FT","Full-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2019","2019",,"k","Data included in another category"
"AUS","Australia","_T","Total","INST_PRIV_IND","Independent private educational institutions","FT","Full-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2013","2013",16375,,
"AUS","Australia","_T","Total","INST_PRIV_IND","Independent private educational institutions","FT","Full-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2014","2014",18724,,
"AUS","Australia","_T","Total","INST_PRIV_IND","Independent private educational institutions","FT","Full-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2015","2015",83232,,
"AUS","Australia","_T","Total","INST_PRIV_IND","Independent private educational institutions","FT","Full-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2016","2016",78900,,
"AUS","Australia","_T","Total","INST_PRIV_IND","Independent private educational institutions","FT","Full-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2017","2017",71670,,
"AUS","Australia","_T","Total","INST_PRIV_IND","Independent private educational institutions","FT","Full-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2018","2018",,"k","Data included in another category"
"AUS","Australia","_T","Total","INST_PRIV_IND","Independent private educational institutions","FT","Full-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2019","2019",,"k","Data included in another category"
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","PT","Part-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2013","2013",92948,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","PT","Part-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2014","2014",94254,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","PT","Part-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2015","2015",301888,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","PT","Part-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2016","2016",272644,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","PT","Part-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2017","2017",204278,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","PT","Part-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2018","2018",26948,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","PT","Part-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2019","2019",77459,,
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","PT","Part-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2013","2013",23603,,
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","PT","Part-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2014","2014",20844,,
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","PT","Part-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2015","2015",175,,
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","PT","Part-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2016","2016",152,,
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","PT","Part-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2017","2017",140,,
"AUS","Australia","_T","Total","INST_PRIV_GOV","Government dependent private educational institutions","PT","Part-time","ISCED11_5","Short-cycle tertiary education","PN","Pure number","2018","2018",,"k","Data included in another category"
