COUNTRY,Country,SEX,Gender,EDUCATION_FIELD,Field,MOBILITY,International mobility,EDUCATION_LEV,Education level,YEAR,Year,Value,Flag Codes,Flags
AUS,Australia,M,Male,F01,Education,_T,Total,ISCED11_5,Short-cycle tertiary education,2019,2019,3496,,
AUS,Australia,F,Female,F01,Education,MOB,Mobile including homecoming nationals,ISCED11_5,Short-cycle tertiary education,2019,2019,4039,,
AUS,Australia,M,Male,F01,Education,MOB,Mobile including homecoming nationals,ISCED11_5,Short-cycle tertiary education,2019,2019,301,,
AUS,Australia,F,Female,F01,Education,MOB_HOME,Homecoming nationals,ISCED11_5,Short-cycle tertiary education,2019,2019,,m,Missing value; data cannot exist
AUS,Australia,M,Male,F01,Education,_T,Total,ISCED11_6,Bachelor’s or equivalent level,2019,2019,19886.5,,
AUS,Australia,F,Female,F01,Education,MOB,Mobile including homecoming nationals,ISCED11_6,Bachelor’s or equivalent level,2019,2019,3616.138,,
AUS,Australia,M,Male,F01,Education,MOB,Mobile including homecoming nationals,ISCED11_6,Bachelor’s or equivalent level,2019,2019,1815.483,,
AUS,Australia,F,Female,F01,Education,MOB_HOME,Homecoming nationals,ISCED11_6,Bachelor’s or equivalent level,2019,2019,,m,Missing value; data cannot exist
AUS,Australia,M,Male,F01,Education,MOB_HOME,Homecoming nationals,ISCED11_6,Bachelor’s or equivalent level,2019,2019,,m,Missing value; data cannot exist
AUS,Australia,M,Male,F01,Education,_T,Total,ISCED11_7,Master’s or equivalent level,2019,2019,8580.587,,
AUS,Australia,F,Female,F01,Education,MOB_HOME,Homecoming nationals,ISCED11_7,Master’s or equivalent level,2019,2019,,m,Missing value; data cannot exist
AUS,Australia,M,Male,F01,Education,MOB_HOME,Homecoming nationals,ISCED11_7,Master’s or equivalent level,2019,2019,,m,Missing value; data cannot exist
AUS,Australia,F,Female,F01,Education,_T,Total,ISCED11_8,Doctoral or equivalent level,2019,2019,2257,,
AUS,Australia,M,Male,F01,Education,_T,Total,ISCED11_8,Doctoral or equivalent level,2019,2019,1039,,
AUS,Australia,M,Male,F01,Education,MOB,Mobile including homecoming nationals,ISCED11_8,Doctoral or equivalent level,2019,2019,267,,
AUS,Australia,F,Female,F01,Education,MOB_HOME,Homecoming nationals,ISCED11_8,Doctoral or equivalent level,2019,2019,,m,Missing value; data cannot exist
AUS,Australia,M,Male,F01,Education,MOB_HOME,Homecoming nationals,ISCED11_8,Doctoral or equivalent level,2019,2019,,m,Missing value; data cannot exist
AUS,Australia,M,Male,F02,Arts and humanities,MOB,Mobile including homecoming nationals,ISCED11_5,Short-cycle tertiary education,2019,2019,2980,,
AUS,Australia,F,Female,F02,Arts and humanities,MOB_HOME,Homecoming nationals,ISCED11_5,Short-cycle tertiary education,2019,2019,,m,Missing value; data cannot exist
AUS,Australia,M,Male,F02,Arts and humanities,MOB_HOME,Homecoming nationals,ISCED11_5,Short-cycle tertiary education,2019,2019,,m,Missing value; data cannot exist
AUS,Australia,M,Male,F02,Arts and humanities,_T,Total,ISCED11_6,Bachelor’s or equivalent level,2019,2019,45982.323,,
AUS,Australia,F,Female,F02,Arts and humanities,_T,Total,ISCED11_7,Master’s or equivalent level,2019,2019,9744.421,,
AUS,Australia,F,Female,F02,Arts and humanities,MOB,Mobile including homecoming nationals,ISCED11_7,Master’s or equivalent level,2019,2019,4899.413,,
AUS,Australia,M,Male,F02,Arts and humanities,_T,Total,ISCED11_8,Doctoral or equivalent level,2019,2019,2682,,
AUS,Australia,M,Male,F02,Arts and humanities,MOB,Mobile including homecoming nationals,ISCED11_8,Doctoral or equivalent level,2019,2019,496,,
AUS,Australia,F,Female,F02,Arts and humanities,MOB_HOME,Homecoming nationals,ISCED11_8,Doctoral or equivalent level,2019,2019,,m,Missing value; data cannot exist
AUS,Australia,F,Female,F03,"Social sciences, journalism and information",_T,Total,ISCED11_5,Short-cycle tertiary education,2019,2019,2991,,
AUS,Australia,M,Male,F03,"Social sciences, journalism and information",_T,Total,ISCED11_5,Short-cycle tertiary education,2019,2019,1384,,
AUS,Australia,F,Female,F03,"Social sciences, journalism and information",MOB,Mobile including homecoming nationals,ISCED11_5,Short-cycle tertiary education,2019,2019,84,,
AUS,Australia,F,Female,F03,"Social sciences, journalism and information",MOB_HOME,Homecoming nationals,ISCED11_5,Short-cycle tertiary education,2019,2019,,m,Missing value; data cannot exist
AUS,Australia,M,Male,F03,"Social sciences, journalism and information",MOB_HOME,Homecoming nationals,ISCED11_5,Short-cycle tertiary education,2019,2019,,m,Missing value; data cannot exist
AUS,Australia,M,Male,F03,"Social sciences, journalism and information",MOB,Mobile including homecoming nationals,ISCED11_6,Bachelor’s or equivalent level,2019,2019,2768.87,,
AUS,Australia,F,Female,F03,"Social sciences, journalism and information",_T,Total,ISCED11_7,Master’s or equivalent level,2019,2019,9844.879,,
AUS,Australia,M,Male,F03,"Social sciences, journalism and information",_T,Total,ISCED11_7,Master’s or equivalent level,2019,2019,4776.371,,
AUS,Australia,F,Female,F03,"Social sciences, journalism and information",MOB,Mobile including homecoming nationals,ISCED11_7,Master’s or equivalent level,2019,2019,2738.932,,
AUS,Australia,M,Male,F03,"Social sciences, journalism and information",MOB,Mobile including homecoming nationals,ISCED11_7,Master’s or equivalent level,2019,2019,1616.785,,
AUS,Australia,F,Female,F03,"Social sciences, journalism and information",MOB_HOME,Homecoming nationals,ISCED11_7,Master’s or equivalent level,2019,2019,,m,Missing value; data cannot exist
AUS,Australia,F,Female,F03,"Social sciences, journalism and information",MOB,Mobile including homecoming nationals,ISCED11_8,Doctoral or equivalent level,2019,2019,751,,
AUS,Australia,M,Male,F03,"Social sciences, journalism and information",MOB,Mobile including homecoming nationals,ISCED11_8,Doctoral or equivalent level,2019,2019,585,,
AUS,Australia,F,Female,F03,"Social sciences, journalism and information",MOB_HOME,Homecoming nationals,ISCED11_8,Doctoral or equivalent level,2019,2019,,m,Missing value; data cannot exist
AUS,Australia,M,Male,F03,"Social sciences, journalism and information",MOB_HOME,Homecoming nationals,ISCED11_8,Doctoral or equivalent level,2019,2019,,m,Missing value; data cannot exist
AUS,Australia,M,Male,F04,"Business, administration and law",_T,Total,ISCED11_5,Short-cycle tertiary education,2019,2019,79386,,
AUS,Australia,F,Female,F04,"Business, administration and law",MOB,Mobile including homecoming nationals,ISCED11_5,Short-cycle tertiary education,2019,2019,39744,,
AUS,Australia,F,Female,F04,"Business, administration and law",MOB_HOME,Homecoming nationals,ISCED11_5,Short-cycle tertiary education,2019,2019,,m,Missing value; data cannot exist
AUS,Australia,F,Female,F04,"Business, administration and law",_T,Total,ISCED11_6,Bachelor’s or equivalent level,2019,2019,126302.196,,
AUS,Australia,M,Male,F04,"Business, administration and law",_T,Total,ISCED11_6,Bachelor’s or equivalent level,2019,2019,120852.477,,
AUS,Australia,F,Female,F04,"Business, administration and law",MOB,Mobile including homecoming nationals,ISCED11_6,Bachelor’s or equivalent level,2019,2019,32669.424,,
AUS,Australia,F,Female,F04,"Business, administration and law",MOB_HOME,Homecoming nationals,ISCED11_6,Bachelor’s or equivalent level,2019,2019,,m,Missing value; data cannot exist
AUS,Australia,M,Male,F04,"Business, administration and law",MOB_HOME,Homecoming nationals,ISCED11_6,Bachelor’s or equivalent level,2019,2019,,m,Missing value; data cannot exist
AUS,Australia,F,Female,F04,"Business, administration and law",_T,Total,ISCED11_7,Master’s or equivalent level,2019,2019,61442.471,,
AUS,Australia,M,Male,F04,"Business, administration and law",_T,Total,ISCED11_7,Master’s or equivalent level,2019,2019,60172.349,,
AUS,Australia,M,Male,F04,"Business, administration and law",MOB,Mobile including homecoming nationals,ISCED11_7,Master’s or equivalent level,2019,2019,42340.922,,
AUS,Australia,F,Female,F04,"Business, administration and law",MOB_HOME,Homecoming nationals,ISCED11_7,Master’s or equivalent level,2019,2019,,m,Missing value; data cannot exist
AUS,Australia,M,Male,F04,"Business, administration and law",MOB_HOME,Homecoming nationals,ISCED11_7,Master’s or equivalent level,2019,2019,,m,Missing value; data cannot exist
AUS,Australia,M,Male,F04,"Business, administration and law",MOB_HOME,Homecoming nationals,ISCED11_8,Doctoral or equivalent level,2019,2019,,m,Missing value; data cannot exist
AUS,Australia,M,Male,F05,"Natural sciences, mathematics and statistics",MOB_HOME,Homecoming nationals,ISCED11_5,Short-cycle tertiary education,2019,2019,,m,Missing value; data cannot exist
AUS,Australia,F,Female,F05,"Natural sciences, mathematics and statistics",_T,Total,ISCED11_6,Bachelor’s or equivalent level,2019,2019,40103.547,,
AUS,Australia,M,Male,F05,"Natural sciences, mathematics and statistics",MOB,Mobile including homecoming nationals,ISCED11_6,Bachelor’s or equivalent level,2019,2019,5463.37,,
AUS,Australia,F,Female,F05,"Natural sciences, mathematics and statistics",MOB_HOME,Homecoming nationals,ISCED11_6,Bachelor’s or equivalent level,2019,2019,,m,Missing value; data cannot exist
AUS,Australia,M,Male,F05,"Natural sciences, mathematics and statistics",MOB_HOME,Homecoming nationals,ISCED11_6,Bachelor’s or equivalent level,2019,2019,,m,Missing value; data cannot exist
AUS,Australia,F,Female,F05,"Natural sciences, mathematics and statistics",_T,Total,ISCED11_7,Master’s or equivalent level,2019,2019,5250.669,,
AUS,Australia,M,Male,F05,"Natural sciences, mathematics and statistics",_T,Total,ISCED11_7,Master’s or equivalent level,2019,2019,4970.008,,
AUS,Australia,F,Female,F05,"Natural sciences, mathematics and statistics",MOB,Mobile including homecoming nationals,ISCED11_7,Master’s or equivalent level,2019,2019,2560.717,,
AUS,Australia,M,Male,F05,"Natural sciences, mathematics and statistics",MOB,Mobile including homecoming nationals,ISCED11_7,Master’s or equivalent level,2019,2019,2225.807,,
AUS,Australia,F,Female,F05,"Natural sciences, mathematics and statistics",MOB_HOME,Homecoming nationals,ISCED11_7,Master’s or equivalent level,2019,2019,,m,Missing value; data cannot exist
AUS,Australia,F,Female,F05,"Natural sciences, mathematics and statistics",_T,Total,ISCED11_8,Doctoral or equivalent level,2019,2019,5868,,
AUS,Australia,M,Male,F05,"Natural sciences, mathematics and statistics",_T,Total,ISCED11_8,Doctoral or equivalent level,2019,2019,6257,,
AUS,Australia,F,Female,F05,"Natural sciences, mathematics and statistics",MOB,Mobile including homecoming nationals,ISCED11_8,Doctoral or equivalent level,2019,2019,2350,,
AUS,Australia,M,Male,F05,"Natural sciences, mathematics and statistics",MOB,Mobile including homecoming nationals,ISCED11_8,Doctoral or equivalent level,2019,2019,2692,,
AUS,Australia,F,Female,F05,"Natural sciences, mathematics and statistics",MOB_HOME,Homecoming nationals,ISCED11_8,Doctoral or equivalent level,2019,2019,,m,Missing value; data cannot exist
AUS,Australia,F,Female,F06,Information and Communication Technologies (ICTs),_T,Total,ISCED11_5,Short-cycle tertiary education,2019,2019,3432,,
AUS,Australia,F,Female,F06,Information and Communication Technologies (ICTs),MOB,Mobile including homecoming nationals,ISCED11_5,Short-cycle tertiary education,2019,2019,2240,,
AUS,Australia,M,Male,F06,Information and Communication Technologies (ICTs),MOB,Mobile including homecoming nationals,ISCED11_5,Short-cycle tertiary education,2019,2019,9393,,
AUS,Australia,F,Female,F06,Information and Communication Technologies (ICTs),MOB_HOME,Homecoming nationals,ISCED11_5,Short-cycle tertiary education,2019,2019,,m,Missing value; data cannot exist
AUS,Australia,F,Female,F06,Information and Communication Technologies (ICTs),_T,Total,ISCED11_6,Bachelor’s or equivalent level,2019,2019,9644.331,,
AUS,Australia,M,Male,F06,Information and Communication Technologies (ICTs),_T,Total,ISCED11_6,Bachelor’s or equivalent level,2019,2019,41324.674,,
AUS,Australia,F,Female,F06,Information and Communication Technologies (ICTs),_T,Total,ISCED11_7,Master’s or equivalent level,2019,2019,13800.536,,
AUS,Australia,M,Male,F06,Information and Communication Technologies (ICTs),_T,Total,ISCED11_7,Master’s or equivalent level,2019,2019,29481.432,,
AUS,Australia,F,Female,F06,Information and Communication Technologies (ICTs),MOB,Mobile including homecoming nationals,ISCED11_7,Master’s or equivalent level,2019,2019,12699.048,,
AUS,Australia,M,Male,F06,Information and Communication Technologies (ICTs),MOB,Mobile including homecoming nationals,ISCED11_7,Master’s or equivalent level,2019,2019,26089.753,,
