"Country","Indicator","Sex","Age Group","Time","Unit","PowerCode","Reference Period","Value","Flags"
"Australia","Unemployment rate, by sex and age group","Men","Total","2017","Percentage","Units",,5.5,
"Australia","Unemployment rate, by sex and age group","Women","Total","2017","Percentage","Units",,5.7,
"Austria","Unemployment rate, by sex and age group","Men","Total","2017","Percentage","Units",,5.9,
"Austria","Unemployment rate, by sex and age group","Women","Total","2017","Percentage","Units",,5,
"Belgium","Unemployment rate, by sex and age group","Men","Total","2017","Percentage","Units",,7.1,
"Belgium","Unemployment rate, by sex and age group","Women","Total","2017","Percentage","Units",,7.1,
"Canada","Unemployment rate, by sex and age group","Men","Total","2017","Percentage","Units",,6.8,
"Canada","Unemployment rate, by sex and age group","Women","Total","2017","Percentage","Units",,5.9,
"Czech Republic","Unemployment rate, by sex and age group","Men","Total","2017","Percentage","Units",,2.3,
"Czech Republic","Unemployment rate, by sex and age group","Women","Total","2017","Percentage","Units",,3.6,
"Denmark","Unemployment rate, by sex and age group","Men","Total","2017","Percentage","Units",,5.5,
"Denmark","Unemployment rate, by sex and age group","Women","Total","2017","Percentage","Units",,6,
"Finland","Unemployment rate, by sex and age group","Men","Total","2017","Percentage","Units",,8.8,
"Finland","Unemployment rate, by sex and age group","Women","Total","2017","Percentage","Units",,8.4,
"France","Unemployment rate, by sex and age group","Men","Total","2017","Percentage","Units",,9.5,
"France","Unemployment rate, by sex and age group","Women","Total","2017","Percentage","Units",,9.3,
"Germany","Unemployment rate, by sex and age group","Men","Total","2017","Percentage","Units",,4.1,
"Germany","Unemployment rate, by sex and age group","Women","Total","2017","Percentage","Units",,3.3,
"Greece","Unemployment rate, by sex and age group","Men","Total","2017","Percentage","Units",,17.8,
"Greece","Unemployment rate, by sex and age group","Women","Total","2017","Percentage","Units",,26.1,
"Hungary","Unemployment rate, by sex and age group","Men","Total","2017","Percentage","Units",,3.8,
"Hungary","Unemployment rate, by sex and age group","Women","Total","2017","Percentage","Units",,4.6,
"Iceland","Unemployment rate, by sex and age group","Men","Total","2017","Percentage","Units",,3.4,
"Iceland","Unemployment rate, by sex and age group","Women","Total","2017","Percentage","Units",,3.2,
"Ireland","Unemployment rate, by sex and age group","Men","Total","2017","Percentage","Units",,7,
"Ireland","Unemployment rate, by sex and age group","Women","Total","2017","Percentage","Units",,6,
"Italy","Unemployment rate, by sex and age group","Men","Total","2017","Percentage","Units",,10.3,
"Italy","Unemployment rate, by sex and age group","Women","Total","2017","Percentage","Units",,12.4,
"Japan","Unemployment rate, by sex and age group","Men","Total","2017","Percentage","Units",,2.9,
"Japan","Unemployment rate, by sex and age group","Women","Total","2017","Percentage","Units",,2.7,
"Korea","Unemployment rate, by sex and age group","Men","Total","2017","Percentage","Units",,3.8,
"Korea","Unemployment rate, by sex and age group","Women","Total","2017","Percentage","Units",,3.5,
"Luxembourg","Unemployment rate, by sex and age group","Men","Total","2017","Percentage","Units",,5.5,
"Luxembourg","Unemployment rate, by sex and age group","Women","Total","2017","Percentage","Units",,5.5,
"Mexico","Unemployment rate, by sex and age group","Men","Total","2017","Percentage","Units",,3.3,
"Mexico","Unemployment rate, by sex and age group","Women","Total","2017","Percentage","Units",,3.6,
"Netherlands","Unemployment rate, by sex and age group","Men","Total","2017","Percentage","Units",,4.5,
"Netherlands","Unemployment rate, by sex and age group","Women","Total","2017","Percentage","Units",,5.3,
"New Zealand","Unemployment rate, by sex and age group","Men","Total","2017","Percentage","Units",,4.3,
